Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
2022,Houston Rockets,1.4,4.1,34.8,1,2.9,34.7,11,31.4,35.2
2022,Indiana Pacers,2.1,5.1,40.5,1.4,4.1,34.7,8.7,25.9,33.5
2022,Los Angeles Clippers,1.6,3.8,41.6,1.7,4,41.7,9.5,26.2,36.4
2022,Los Angeles Lakers,1.6,4.2,37.5,1.6,4.2,38.5,8.8,25.9,33.8
2022,Memphis Grizzlies,1.7,4.6,37.7,1.2,3.3,36.3,8.6,24.5,35.1
2022,Miami Heat,2.4,6,40.9,2.2,5.2,43,8.9,24.4,36.6
2022,Milwaukee Bucks,2,4.9,41.4,1.7,4.6,37,10.3,28.7,35.9
2022,Minnesota Timberwolves,2.3,5.5,41.5,1.6,4.2,37.5,10.9,31.2,34.8
2022,New Orleans Pelicans,1.7,4.3,39.3,1.2,3.7,33.7,7.6,23.7,32.2
2022,New York Knicks,1.9,4.8,40.3,1.3,3.6,36.9,9.9,28.3,34.8
2022,Oklahoma City Thunder,1.5,4.8,32.2,1.2,3.4,36.7,9.3,29.1,32
2022,Orlando Magic,2,4.8,40.7,1.2,3.3,35.1,9,28.5,31.8
2022,Philadelphia 76ers,1.5,3.8,39.9,1.7,4.5,38.3,8.3,23.1,35.8
2022,Phoenix Suns,1.5,3.9,36.8,2,4.8,40.7,8.2,23,35.5
2022,Portland Trail Blazers,1.5,4.1,36,1.5,3.9,38.7,9.7,28.5,33.9
2022,Sacramento Kings,1.5,4.2,35.6,1.4,3.4,41.7,8.5,25.4,33.4
2022,San Antonio Spurs,1.4,4.1,34.8,1.5,3.7,39.5,8.3,24,34.8
2022,Toronto Raptors,1.7,4.3,39.3,1.7,4.4,40.1,8.4,25.2,33.4
2022,Utah Jazz,1.6,4.6,35.8,2.3,5.8,39.4,10.5,29.7,35.5
2022,Washington Wizards,1.7,4.2,40.9,1.4,3.7,38,7.3,22.5,32.5
2021,Atlanta Hawks,1.4,3.3,43.6,1.5,4.2,36.1,9.5,25.8,36.8
2021,Boston Celtics,1.7,4.1,40.6,1.2,3.3,37.4,10.7,28.8,37.2
2021,Brooklyn Nets,1.5,3.5,42.4,1.9,4.7,39.8,10.8,27.8,38.9
2021,Charlotte Hornets,1.9,4.7,39.5,1.7,3.9,43.5,10.1,28.2,35.8
2021,Chicago Bulls,2.1,4.8,43.9,1.4,3.4,39.9,9.1,25.6,35.5
2021,Cleveland Cavaliers,1.3,3.7,35.7,1.2,3.1,38.1,7.5,22.8,32.7
2021,Dallas Mavericks,1.6,4.2,37.5,1.5,4.1,37.2,10.7,29.7,36.1
2021,Denver Nuggets,1.8,4.1,44.9,1.5,3.7,40.5,9.5,26.2,36.4
2021,Detroit Pistons,1.6,4.5,35.7,1.2,3.5,33.1,8.8,24.8,35.4
2021,Golden State Warriors,1.8,4.5,39.2,1.7,4.1,41.6,11,29.8,37
2021,Houston Rockets,2,5.2,37.9,1.5,4.7,32.7,10.3,30.6,33.6
2021,Indiana Pacers,1.6,3.9,41.7,1.4,3.5,40.9,9.3,26.4,35.1
2021,Los Angeles Clippers,2.5,5.2,47.7,2.3,5,45.5,9.5,24.3,39.1
2021,Los Angeles Lakers,1.5,4.4,34.3,1.4,3.7,39,8.1,22.9,35.2
2021,Memphis Grizzlies,2,5.1,40.3,1.2,3.4,35,7.9,22.8,34.7
2021,Miami Heat,1.6,4.5,35.8,1.6,4.7,34.9,9.7,26.8,36.2
2021,Milwaukee Bucks,1.7,3.8,43.8,1.7,4.4,38.2,11.1,28.8,38.6
2021,Minnesota Timberwolves,1.8,4.9,37.4,1.2,3.4,35.2,10,29,34.4
2021,New Orleans Pelicans,1.3,3.7,36.4,1.4,4,34.7,7.8,22.5,34.7
2021,New York Knicks,1.8,4.4,41.3,2,4.5,44.4,7.9,21,37.7
2021,Oklahoma City Thunder,1.6,4.2,37.5,1.1,3,36.3,9.2,27.6,33.3
2021,Orlando Magic,1.2,3.2,37.3,0.7,2,32.9,9.1,26.4,34.3
2021,Philadelphia 76ers,1.3,3.8,35.3,2.1,4.5,46.6,7.8,21.7,36.1
2021,Phoenix Suns,2.1,4.8,43.7,2.1,4.8,43.6,8.9,24.8,35.7
2021,Portland Trail Blazers,1.4,3.2,45,1.3,3.9,34.6,12.9,33.6,38.5
2021,Sacramento Kings,1.8,4.1,43.3,1.4,3.4,41.5,8.9,25.6,34.9
2021,San Antonio Spurs,1.2,3.3,35.9,1.1,2.8,38.2,7.7,22.3,34.6
2021,Toronto Raptors,1.8,4.8,37.3,1.8,4.5,39,10.9,29.8,36.5
2021,Utah Jazz,2.3,5.8,39.9,2.5,6.1,40.2,12,31,38.7
2021,Washington Wizards,1.4,4,36.1,1.1,3.2,35.8,7.6,21.7,35.1
2020,Atlanta Hawks,1.3,3.7,36.7,1.3,4.1,31.3,9.4,28.1,33.4
2020,Boston Celtics,1.6,3.7,42.1,1,3,34,10,27.6,36.3
2020,Brooklyn Nets,1.6,4.3,38.6,1.6,4.4,36.5,9.8,29.2,33.5
2020,Charlotte Hornets,1.6,3.9,40.6,1.3,3.4,37.1,9.2,26.8,34.4
2020,Chicago Bulls,2,5.1,38.8,1.2,3.1,37.7,9,26.7,33.8
